,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,1
1,2008-02-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,2
2,2008-03-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,3
3,2008-04-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,4
4,2008-05-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,5
5,2008-06-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,6
6,2008-07-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,7
7,2008-08-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,8
8,2008-09-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,9
9,2008-10-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,10
10,2008-11-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,11
11,2008-12-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2008,12
12,2009-01-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,1
13,2009-02-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,2
14,2009-03-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,3
15,2009-04-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,4
16,2009-05-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,5
17,2009-06-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,6
18,2009-07-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,7
19,2009-08-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,8
20,2009-09-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,9
21,2009-10-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,10
22,2009-11-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,11
23,2009-12-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2009,12
24,2010-01-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,1
25,2010-02-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,2
26,2010-03-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,3
27,2010-04-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,4
28,2010-05-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,5
29,2010-06-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,6
30,2010-07-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,7
31,2010-08-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,8
32,2010-09-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,9
33,2010-10-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,10
34,2010-11-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,11
35,2010-12-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2010,12
36,2011-01-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2011,1
37,2011-02-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2011,2
38,2011-03-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2011,3
39,2011-04-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2011,4
40,2011-05-01,,Assam,Kokrajhar,Maize,129.53571428571428,2483.095238095238,2898.095238095238,2653.095238095238,2011,5
